earn,height,sex,ed,age,race
50000,74.42443878,male,16,45,white
60000,65.53754283,female,16,58,white
30000,63.62919774,female,16,29,white
50000,63.10856168,female,16,91,other
51000,63.40248357,female,17,39,white
9000,64.39950754,female,15,26,white
29000,61.65632583,female,12,49,white
32000,72.69854374,male,17,46,white
2000,72.03946685,male,15,21,hispanic
27000,72.23493256,male,12,26,white
6530,69.51214643,male,16,65,white
30000,68.03160826,male,11,34,white
12000,67.55693392,male,12,27,white
12000,65.43058708,female,12,51,white
22000,65.66285452,female,16,35,white
17000,67.75876874,male,12,58,white
40000,68.35184258,female,14,29,white
44000,69.6095718,male,13,44,white
7000,64.18456568,female,12,55,black
53000,73.07460915,male,13,35,black
5000,62.37552702,female,13,51,white
14000,63.02393011,female,14,21,white
5500,67.22990391,male,14,22,white
40000,65.5511078,female,12,41,white
34000,72.07964539,male,12,45,white
10000,63.09113008,female,12,35,black
27000,64.32354892,female,16,60,white
50000,71.64285283,male,16,38,white
41000,76.79309468,male,16,33,white
15000,63.89391433,female,14,25,white
25000,63.80262307,female,12,33,white
75000,71.59223144,male,17,39,white
27000,67.52196348,male,17,31,white
12000,64.39435148,female,12,26,white
7500,61.17822266,female,14,78,white
30000,66.9838783,female,14,31,black
21000,65.31645577,female,12,57,white
27000,63.57418515,female,14,26,white
3000,66.61100048,female,15,65,white
25000,64.91175508,female,12,30,white
24000,64.78967998,female,12,41,white
32000,66.93769065,female,18,29,white
10000,68.17281295,female,17,30,white
11000,60.45065992,female,12,21,hispanic
18700,64.79325356,female,13,32,white
20000,61.814919,female,12,29,white
3500,71.57214531,male,10,18,white
13000,67.31440583,male,8,56,black
25000,69.89987336,male,12,65,white
21000,69.76170202,male,17,41,white
34000,67.74647103,female,17,49,white
6000,60.19022153,female,12,65,white
17000,71.00649988,male,12,28,white
35000,71.16679813,male,12,32,white
4000,72.73562987,male,13,18,white
14000,68.13822311,female,14,55,white
10000,66.37981124,female,12,57,white
25000,69.23278453,male,16,29,white
16000,63.2739378,female,14,27,white
16000,61.82776272,male,14,28,hispanic
16500,64.22120921,female,14,43,white
4000,63.84126511,female,9,68,white
3840,66.97477013,female,9,52,white
22000,71.45148909,male,12,39,white
200,59.61264626,female,16,53,white
26000,65.79938553,female,16,27,white
2500,66.45804053,female,15,21,white
17000,64.60288039,female,14,39,white
8000,70.44048147,female,13,22,white
12000,65.92281351,female,13,68,white
10000,61.85682685,female,12,47,white
10000,65.78444016,female,15,67,white
15000,71.83127984,male,12,39,white
2400,67.04532929,female,8,39,hispanic
30000,68.30550608,male,12,32,hispanic
30000,70.02545976,male,12,33,white
10000,61.81038588,female,12,38,white
5000,62.951071,female,13,26,white
12000,65.82113696,female,13,63,white
20000,70.39754819,female,10,61,white
20000,68.37778444,female,12,36,white
20000,69.93269988,male,14,23,white
1200,66.17180593,female,12,20,white
700,68.4563631,female,16,32,white
20000,69.90385751,male,16,27,white
10000,61.14965798,female,12,22,hispanic
30000,63.36334633,female,12,73,white
40000,64.1470838,female,14,56,white
25000,67.31839041,male,12,89,white
10000,60.67493605,female,17,79,white
60000,68.84090254,female,18,63,white
18000,67.68273051,female,12,66,white
16040,64.49676858,female,12,33,white
15000,66.81240419,female,14,30,black
10000,68.74643775,male,17,23,white
33000,67.06764906,female,13,43,white
18000,68.13799301,female,12,30,white
15000,63.34289679,female,12,37,white
21000,71.38666631,male,12,22,white
21000,63.98833702,female,17,43,black
37000,68.48638652,male,11,37,white
38000,67.5161435,female,17,44,white
17000,65.60084375,female,14,43,hispanic
32000,76.80019394,male,16,30,white
27500,67.10538079,female,12,58,white
16500,62.15164343,female,12,44,white
25000,66.86762426,female,18,35,white
27000,61.04220253,female,18,43,white
5000,64.12328577,female,12,28,white
70000,61.54481517,female,16,38,white
5000,62.55623639,female,12,40,white
5000,68.16376557,male,16,24,white
20000,63.65512749,female,15,26,white
4000,72.37351729,male,15,21,white
60000,64.14708239,female,16,35,white
5000,61.32669975,female,13,31,white
30000,74.36639644,male,12,38,white
70000,70.21016202,male,14,35,white
50000,71.10618803,male,16,41,white
44000,62.59484404,female,12,39,white
30000,64.05496477,female,14,43,white
10000,61.57361885,female,16,40,white
23000,70.48019939,female,17,42,white
45000,71.18590697,male,17,62,white
15000,71.43363842,male,14,31,white
4000,70.22884859,female,14,71,white
17000,67.28085804,male,14,31,white
30000,63.7586912,female,12,32,white
27500,67.08651561,female,12,30,white
5688,61.67959788,female,8,69,white
18000,62.28599832,female,13,56,hispanic
43000,68.29247687,male,13,44,black
32000,61.58948255,female,14,44,black
10000,68.41773519,female,18,56,black
60000,73.99125513,male,13,45,white
21000,67.56107232,female,12,50,other
2400,62.33792965,female,16,22,white
1000,66.2400089,female,15,28,white
27000,68.09847275,male,12,27,white
6600,59.77086973,female,14,28,hispanic
16000,68.06338056,male,8,43,white
90000,71.68014805,male,12,26,white
8000,66.35970835,female,12,42,white
20000,68.35625823,male,10,32,white
15000,68.45654248,female,12,18,white
12000,68.78610429,female,12,60,white
24000,64.10224266,female,16,46,white
20000,65.11348548,female,14,39,white
19000,60.64918584,female,12,46,white
10000,72.12570299,male,12,49,white
40000,65.51073007,female,16,34,white
25000,67.93189831,male,14,64,white
25000,70.44492324,male,12,24,white
25000,71.36585446,male,14,32,white
19000,71.12507331,male,16,61,white
44000,68.16013681,male,16,48,white
15000,60.11332769,female,14,49,white
17000,62.78819755,female,12,36,white
24000,68.07772188,male,12,56,white
23000,64.05084212,female,12,37,white
13000,69.71579638,male,12,74,white
65000,68.22067254,male,16,46,white
7000,60.8838595,female,12,63,white
40000,68.4075397,male,18,63,white
15000,66.00197998,female,17,43,white
20000,69.79788991,male,16,25,white
20000,71.01071134,male,12,50,white
20000,65.14241075,female,12,42,white
25000,65.96710882,female,12,49,white
49000,69.9905326,male,13,37,white
25000,61.8766772,female,12,65,white
11000,66.10888066,female,14,57,white
16000,61.05430546,female,15,38,white
35000,71.5635653,male,14,43,white
125000,74.34062243,male,18,45,white
23000,66.57698841,female,12,47,white
17000,66.11044315,female,16,28,white
27000,61.96568501,female,12,41,white
70000,71.74551166,male,14,32,white
35000,64.5622198,female,15,47,white
10000,60.19882039,female,12,62,white
35000,61.91637283,female,15,39,white
15000,66.41355202,female,12,38,white
12000,63.69852119,female,12,39,white
8000,71.29091446,male,12,68,white
8000,65.25375611,female,12,50,white
35000,73.00546124,male,18,50,white
45000,68.64007438,male,11,51,white
15000,64.38145247,female,14,22,white
15000,61.06026413,female,12,77,white
24000,66.78936466,female,18,51,white
25000,61.82929804,female,13,32,white
25000,62.60956008,female,14,54,black
20000,67.36465586,male,10,28,other
24000,68.01697138,female,12,24,white
44000,72.06414695,male,16,46,white
69000,70.10862394,male,12,38,white
62000,69.8524851,male,18,44,white
32000,67.45525096,male,14,32,black
20000,63.45312857,female,12,33,black
32000,66.29296545,female,18,35,other
25000,65.83479652,female,17,50,white
170000,71.01003448,male,18,45,white
35000,66.6194241,male,16,33,white
40000,75.56858877,male,16,38,black
33000,68.95219922,male,14,30,white
18000,65.34873405,female,12,22,white
30000,61.75211652,female,13,43,white
26000,61.76413236,female,12,31,white
5000,62.41146948,female,12,21,white
20000,61.90432912,female,16,73,white
17000,60.63860991,female,12,30,white
32000,64.82457719,female,14,28,white
15000,72.2707533,male,14,22,white
50000,71.67227516,male,14,55,white
8000,63.77092833,female,12,39,white
40000,70.78659305,male,14,51,white
40000,72.40979479,male,15,41,white
32750,66.08797906,male,12,34,white
20000,64.99932833,female,14,69,white
36000,64.52929961,female,15,39,black
6000,61.74268052,female,12,64,white
12000,65.84031021,female,14,34,black
60000,67.39964104,male,14,63,white
40000,64.02227361,female,13,44,white
43000,63.22614173,female,12,38,white
45000,67.49429822,female,16,34,white
6000,68.00212043,female,18,39,white
8000,63.85790609,female,10,82,other
20000,64.39506424,female,13,39,black
17000,66.43900757,male,12,23,black
2000,64.76537756,female,12,32,white
65000,64.53856172,male,12,28,white
50000,71.58592642,male,12,41,white
11000,68.34822168,female,12,38,white
35000,74.43320394,male,18,30,white
27000,63.21769643,male,12,33,white
3500,64.31431662,female,12,61,white
42000,68.15145984,male,12,37,white
20000,67.49495483,female,18,29,white
15000,67.31617222,female,12,29,white
10000,72.98672325,male,12,21,white
6000,70.49115537,male,8,78,white
17000,64.8857528,female,16,23,hispanic
35000,68.54049155,male,16,65,hispanic
28000,76.6806675,male,14,28,white
15000,67.69396242,female,12,33,white
20000,61.97133572,female,17,24,white
20000,64.21270273,female,12,29,white
10500,67.222475,male,12,42,hispanic
13000,69.90214232,male,16,22,white
10000,61.7774477,female,12,52,white
3000,63.08135136,female,12,37,white
24000,62.33486897,female,14,29,white
17000,68.69583535,female,13,35,white
11000,64.09801177,female,12,48,white
32000,69.03400468,female,14,40,white
17000,58.66031718,female,15,26,white
3000,66.22624865,female,12,35,other
2100,62.09125567,female,12,21,black
3192,75.13845111,male,11,34,black
17000,63.31427802,female,17,26,white
30000,64.55409959,female,13,28,white
15000,69.80036003,male,12,32,white
24000,67.84324762,female,16,42,white
10000,64.95007188,female,14,67,white
50000,69.21830674,male,8,53,white
50000,71.88612281,male,16,53,white
20000,63.52425581,female,17,49,white
30000,62.67855806,female,18,54,hispanic
22000,73.473942,female,14,45,white
27000,75.09407247,male,12,24,white
4000,64.77306344,female,12,38,white
17500,66.25352548,female,17,26,white
16500,66.39350909,female,14,28,white
28000,64.00329116,female,16,39,white
52000,65.57394208,female,18,50,white
15000,64.27616448,female,16,29,white
19000,62.64665984,female,13,32,white
27000,72.55973638,male,12,23,white
15000,71.78231297,male,8,58,white
15000,71.5038586,male,14,33,white
14500,64.1577521,female,12,55,white
24000,64.22768724,female,13,30,white
18000,67.79798123,male,15,36,white
4000,62.27895686,female,12,68,white
4000,68.50409571,female,13,57,white
700,60.11268006,female,12,36,white
24000,64.97932618,female,12,91,white
27000,75.9695087,male,12,39,white
12000,72.32790162,female,12,35,white
22000,61.76565051,female,18,47,white
30000,61.61640105,female,13,36,white
35000,70.55407798,male,12,61,white
20000,74.08119511,male,12,42,white
32000,65.47241732,female,16,32,white
6000,63.36531204,female,12,31,other
12000,66.85000424,female,12,39,white
10000,63.26609422,female,12,31,white
1000,64.74550613,female,12,18,white
12000,63.5420607,female,15,71,white
16000,64.92311015,female,12,36,white
25000,63.24200735,female,16,33,white
25000,69.52456131,female,12,27,white
32000,67.9780942,male,12,30,white
35000,66.54873709,male,14,43,white
6000,64.58870382,female,12,28,white
80000,68.76668589,male,14,44,white
20000,68.08388652,female,14,25,white
1000,65.81591352,female,17,38,white
28000,71.40237607,male,13,38,hispanic
26000,63.76353788,male,16,23,hispanic
27000,73.52538331,male,12,24,white
18000,61.9799861,female,13,41,white
2000,65.21052063,female,12,59,white
20000,69.37546825,male,12,66,white
6000,66.08656109,female,16,48,white
25000,66.52544197,male,11,63,white
12000,73.17216472,male,12,29,white
12000,76.18487998,male,12,57,white
30000,69.52562968,male,14,76,white
4000,62.87571202,female,15,22,black
26000,62.78291334,female,13,37,black
23000,70.0759173,male,12,35,black
21000,71.06307658,male,12,33,white
25000,65.22338374,female,12,62,white
18000,70.38000168,male,16,75,white
4000,63.24725319,female,13,44,white
23900,63.9208744,female,12,22,white
35000,64.32948225,female,18,40,white
26000,66.73038611,male,14,30,white
25000,66.49049372,male,16,36,white
23500,68.01891074,female,13,27,white
12000,65.22521516,female,12,22,white
15000,67.12424549,female,12,20,white
3000,72.93587851,male,17,23,white
6000,63.57960801,female,12,67,white
14000,71.44772069,male,12,69,white
15000,63.28314033,female,16,31,white
175000,70.58955303,male,16,48,white
1000,73.37096183,male,18,25,white
10000,64.68888731,female,14,63,white
45000,65.92309398,male,13,82,white
15000,65.84831739,female,12,81,white
20000,59.20287276,female,13,41,white
35000,69.99012214,male,16,30,white
40000,71.66564428,male,16,28,white
35000,64.20182636,female,12,72,white
50000,66.06454823,female,16,54,white
1.00E+05,69.66688449,male,18,57,white
35000,68.56316227,male,13,28,white
24000,67.72061326,female,12,35,white
35000,73.8310986,male,17,43,white
38000,72.53878017,male,16,74,white
30000,67.2427707,male,12,52,white
5000,63.98628404,female,12,39,hispanic
148000,66.74019514,male,18,38,white
30000,69.77328675,male,12,32,white
6500,63.7568558,female,15,31,white
3000,61.55947889,female,16,37,white
23000,69.29716996,male,18,69,white
40000,68.47820894,male,17,41,white
30000,72.11036806,male,14,39,white
14000,63.1064127,female,12,37,white
15000,68.71668269,female,12,34,white
26000,64.00636885,female,18,36,white
8000,71.00963535,female,12,25,white
24000,63.84401906,female,16,27,black
5124,66.1007056,male,8,67,white
10000,60.9749902,female,15,25,white
12000,67.755097,female,16,32,white
50000,68.45831137,male,17,34,white
23000,63.80380337,female,13,26,white
40000,65.70889054,male,14,34,black
6000,61.93158335,female,13,26,black
5000,65.32257377,female,16,30,black
110000,65.96503808,male,18,37,white
41000,72.04235967,male,13,32,hispanic
23000,62.5702349,female,13,78,white
21000,70.43141038,male,12,23,white
4000,62.32130605,female,12,29,white
25000,70.70824022,male,12,36,white
30000,70.27754766,male,18,46,white
14000,63.87067902,female,11,51,white
6000,63.47753891,female,12,35,white
14000,64.59347958,female,12,46,white
43000,70.51343766,male,12,27,white
25000,61.70051979,female,15,33,white
40000,72.55342775,male,12,66,white
65000,67.58730646,male,17,40,white
16000,76.15186604,male,15,32,white
8000,65.57774506,female,12,71,white
20000,64.22911509,female,15,39,white
14000,60.31367815,female,14,72,white
45000,68.13746662,male,12,74,white
8000,60.94487115,female,11,72,white
12000,66.02237734,male,12,28,white
8000,62.88533313,female,14,31,white
16000,62.67241315,female,15,32,white
6000,73.68753599,male,15,73,white
19000,70.10196227,male,12,32,white
21000,68.3032382,female,13,39,white
43000,69.52018367,female,18,46,white
35000,68.71778433,male,15,21,white
8000,70.49465352,male,10,75,white
21000,62.77759649,female,14,41,white
5800,65.12696483,female,12,30,white
17000,69.34231463,male,12,46,white
24000,67.54424952,male,14,49,white
5000,62.34081167,female,11,71,white
11000,66.17609718,female,12,23,white
10000,65.45162442,male,13,27,white
40000,69.7853576,male,14,36,white
40000,70.46078553,male,12,47,white
24000,65.75425935,female,14,29,black
24000,68.49063707,male,16,26,white
20000,68.13681045,male,16,33,white
60000,69.74408659,male,18,50,white
11000,64.55672948,female,13,47,white
5000,64.39143327,female,15,40,white
27000,65.29905895,female,16,30,white
89000,76.53779724,male,16,41,white
40000,70.024277,male,14,28,white
15000,64.45588099,female,16,26,white
1000,64.1782932,female,14,20,white
22000,64.37256281,female,12,60,white
12000,63.68146212,female,8,48,white
22000,62.56620838,female,16,28,white
40000,57.50321861,female,12,56,black
40000,62.02661927,female,16,44,white
35000,64.45005447,female,14,53,hispanic
7000,63.63646056,female,12,28,white
14000,62.23201909,female,12,37,white
15000,64.01304285,female,12,56,white
6000,65.88741351,female,13,34,white
11000,69.29444166,female,12,41,black
10000,64.34100456,female,13,31,white
20000,70.70352478,male,14,41,white
7000,62.08914548,female,12,73,white
38000,68.29980498,male,9,46,white
29000,67.80439419,male,9,58,white
20000,61.776271,female,10,44,white
8000,62.51286538,female,12,57,white
36000,68.73131542,male,16,51,white
1500,67.04634149,female,12,44,white
42000,64.29710476,female,18,29,white
25000,70.38619011,male,12,22,white
13000,68.95556828,male,10,20,white
30000,69.24640147,male,11,51,black
7000,68.57202318,male,12,23,white
31000,59.84566491,female,12,48,black
15000,66.42150143,female,12,42,black
50000,66.63238097,male,16,49,white
5000,66.24960206,male,15,20,white
600,70.23858997,female,12,18,black
14000,64.48860812,female,8,51,black
40000,59.97166707,female,18,35,other
24000,68.26500169,male,18,36,white
22000,72.73850424,male,12,24,black
20000,71.86160035,male,8,36,white
20112,63.75192555,female,12,38,white
12000,67.34015376,male,13,67,white
41000,67.24024956,female,13,40,white
13000,71.46243117,male,9,50,black
60000,72.73708475,male,16,31,white
24000,70.28583466,male,16,25,white
38000,70.0634253,male,16,36,white
3000,71.1316877,female,14,27,white
13000,65.96479942,female,12,30,white
5000,74.80272686,male,12,21,white
20000,60.2632445,female,14,37,white
22000,72.45994044,male,12,28,white
28000,74.7883401,male,9,55,black
22000,59.80481763,female,12,41,white
30000,73.43138116,male,12,44,black
30000,64.59752321,female,12,32,black
30000,67.11169779,male,16,31,white
32000,61.05399799,female,12,69,white
26000,69.28213398,female,17,43,white
22000,64.41598486,female,14,34,white
25000,70.34137906,male,12,33,white
11000,67.63296349,female,10,24,white
13000,62.18865142,female,12,53,white
10000,63.78784831,female,15,42,white
12000,67.58145525,female,12,45,white
7000,63.51530736,female,11,64,white
57000,72.64023981,male,14,37,white
36000,72.82462226,male,16,37,white
29000,69.40743355,male,14,29,hispanic
8000,68.29109713,female,13,19,white
3000,70.64524331,male,11,18,black
20000,66.13450296,female,16,41,white
33000,66.37325909,male,12,57,white
15000,68.30015174,female,12,68,hispanic
16000,70.29627664,male,12,33,white
5000,61.82133567,female,12,78,white
8000,65.75499999,female,14,43,white
32000,63.02599124,female,16,34,black
14500,74.5177944,male,12,24,white
13000,66.59653847,female,12,29,white
7000,62.63597647,female,9,25,white
50000,64.7152633,female,18,65,black
12000,69.20171718,female,12,35,black
19000,71.47207954,male,14,61,white
9000,61.90177914,female,12,55,white
20000,64.74550731,female,12,35,black
55000,71.71051989,male,18,35,hispanic
10000,64.90903164,female,12,40,white
13000,63.15414848,female,12,19,white
20000,63.9767702,female,13,31,white
30000,71.58898688,male,12,26,white
12000,63.59625609,female,12,34,white
26000,70.06810197,female,13,33,white
12500,64.97474649,female,12,27,white
8000,64.31370646,female,12,29,white
15000,64.20907587,female,16,32,hispanic
65000,66.97400253,male,14,25,white
25000,73.18381262,male,10,21,white
8000,72.53886616,male,14,21,hispanic
15000,64.50500123,male,14,21,other
12000,63.93105347,female,16,40,white
35000,67.08204054,female,13,37,black
40000,66.61123427,male,16,31,white
29000,73.89561864,male,12,22,white
15000,63.44260609,female,13,31,white
20000,73.68861017,male,12,36,white
3000,73.91112601,male,6,62,black
1000,63.08713388,female,16,19,black
8000,62.03632573,female,11,23,black
5000,62.45248348,female,12,18,white
25000,67.03789686,female,16,27,white
20000,68.5933096,male,12,57,white
30000,72.67425324,male,12,34,white
12000,62.87129072,female,12,35,white
10000,67.2233493,female,14,32,white
16000,69.39067215,male,12,19,white
45000,71.41330153,male,12,29,white
40000,72.08595713,male,14,54,white
25000,70.21479284,male,14,81,white
19000,64.30326126,female,14,52,white
17600,64.13060127,female,16,30,white
7000,67.91111915,male,12,67,white
30000,74.3458905,male,12,32,white
18000,61.8189569,female,11,47,white
25000,65.12869438,female,16,47,white
6000,59.96125293,female,5,62,white
70000,69.38679157,male,18,42,white
15000,60.7515004,female,16,34,other
25000,64.93232833,female,17,33,white
35000,66.2033999,female,16,28,white
18000,69.91582674,male,16,24,white
28000,71.56571053,male,15,30,black
15000,63.90538101,female,11,21,hispanic
22000,71.33306113,male,14,28,hispanic
35000,73.3903852,male,12,30,white
18000,64.03798392,female,15,46,black
35000,67.84231027,male,14,37,white
16400,64.25282195,female,12,21,black
22000,65.64794502,male,16,37,black
30000,66.54676917,female,16,58,white
17000,64.12242415,female,12,27,hispanic
25000,64.11059879,female,14,36,black
10000,62.21865695,female,12,51,white
40000,68.94601606,male,12,37,white
12500,63.24088156,female,12,63,white
35000,72.39141051,male,15,45,white
105000,74.58005058,male,12,49,white
1.00E+05,69.52920171,male,18,40,white
21000,69.33475947,male,12,51,white
10000,64.01762884,female,14,56,white
33000,71.93661366,male,12,26,white
26000,69.46231403,male,18,25,white
60000,63.07906693,female,10,78,white
18000,71.11434383,male,16,45,white
15000,59.34177917,female,8,61,white
5000,68.31486156,male,13,20,white
60000,77.05128181,male,17,42,white
12000,68.41967915,female,14,69,white
28000,69.67200995,male,18,38,black
42000,69.28192155,male,18,43,white
2000,62.73898997,female,12,33,white
20000,72.79469156,male,18,33,black
28000,66.12674042,male,15,40,other
10000,72.19214776,male,17,62,black
31000,72.22431795,male,12,31,black
17000,68.98432253,female,13,37,black
16000,67.17655378,female,12,39,white
35000,65.67095384,female,15,38,white
3000,67.34624967,female,12,26,white
16000,67.53277906,female,18,39,white
35000,64.57748965,female,15,42,black
27000,61.5843523,female,17,33,black
25000,69.38511968,male,17,29,white
40000,69.6098165,male,16,41,white
45000,66.07182778,female,16,43,white
